#TYPE Selected.Microsoft.Azure.Commands.Profile.Models.PSAzureSubscription
"Name"
"Retail-Development"
"Citrix-7-DR"
"Philology-AGL"
"Innovation-Ideas-Non-Production"
"Merchant-Development"
"Business-Analytics-Development"
"ISG-Development"
"Visual-Studio-Online-Development"
"Security-SOC-Sandbox"
"Microsoft Azure Enterprise"
"SAP-ERP-Production"
"New-Energy-Development"
"ISG-Production"
"Business-Analytics-Production"
"SAP-ERP-Non-Production"
"Merchant-Production"
"Security-Hunting-Sandbox"
"Project-TOSCA-MSDN"
"Security-Sandbox-Development"
